AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
KBE01;;;bez černý (<i>Sambucus nigra</i>), kerblík lesní (<i>Anthriscus sylvestris</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), ostružiník křovitý (<i>Rubus fruticosus agg.</i>), svízel přítula  (<i>Galium aparine</i>), trnovník akát (<i>Robinia pseudoacacia</i>), vlaštovičník větší (<i>Chelidonium majus</i>), mech (<i>Brachythecium rutabulum</i>)
KBE02;;;bez černý (<i>Sambucus nigra</i>), lipnice hajní (<i>Poa nemoralis</i>), metlička křivolaká (<i>Avenella flexuosa</i>), trnovník akát (<i>Robinia pseudoacacia</i>)
KBF01;;;kostřava ovčí (<i>Festuca ovina</i>), ostružiník křovitý (<i>Rubus fruticosus agg.</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), trnovník akát (<i>Robinia pseudoacacia</i>), třtina křovištní (<i>Calamagrostis epigejos</i>)
KBG01;;;lipnice hajní (<i>Poa nemoralis</i>), strdivka sedmihradská (<i>Melica transsilvanica</i>), trnovník akát (<i>Robinia pseudoacacia</i>), mech (<i>Hypnum cupressiforme</i>)
KCA01;;;borovice kleč (<i>Pinus mugo</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), metlička křivolaká (<i>Avenella flexuosa</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Dicranum scoparium</i>)
KCA02;;;borovice kleč (<i>Pinus mugo</i>)
LAA01;;;ďáblík bahenní (<i>Calla palustris</i>), krušina olšová (<i>Frangula alnus</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), olše lepkavá (<i>Alnus glutinosa</i>), ostřice latnatá (<i>Carex paniculata</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), přeslička lesní (<i>Equisetum sylvaticum</i>), vrbina obecná (<i>Lysimachia vulgaris</i>), mech (<i>Sphagnum palustre</i>)
LAA02;;;chrastice rákosovitá (<i>Phalaris arundinacea</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), olše lepkavá (<i>Alnus glutinosa</i>), ostřice ostrá (<i>Carex acutiformis</i>), ostřice prodloužená (<i>Carex elongata</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), třtina šedavá (<i>Calamagrostis canescens</i>), zblochan vodní (<i>Glyceria maxima</i>)
LAA03;;;netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), olše lepkavá (<i>Alnus glutinosa</i>), ostřice ostrá (<i>Carex acutiformis</i>), skřípina lesní (<i>Scirpus sylvaticus</i>)
LAB01;;;krušina olšová (<i>Frangula alnus</i>), vrba popelavá (<i>Salix cinerea</i>), vrba ušatá (<i>Salix aurita</i>), mech (<i>Sphagnum squarrosum</i>)
LAB02;;;krušina olšová (<i>Frangula alnus</i>), třtina šedavá (<i>Calamagrostis canescens</i>), vrba popelavá (<i>Salix cinerea</i>), vrba ušatá (<i>Salix aurita</i>)
