AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
LFD04;;;bezkolenec modrý (<i>Molinia caerulea</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), smrk ztepilý (<i>Picea abies</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Polytrichum commune</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum girgensohnii</i>), mech (<i>Sphagnum magellanicum</i>), mech (<i>Sphagnum recurvum</i>)
MAA01;;;bahnička vejčitá (<i>Eleocharis ovata</i>), blatěnka vodní (<i>Limosella aquatica</i>), hvězdoš jarní (<i>Callitriche palustris</i>), ostřice šáchorovitá (<i>Carex bohemica</i>), puchýřka útlá (<i>Coleanthus subtilis</i>), sítina žabí (<i>Juncus bufonius</i>)
MAA02;;;jitrocel chudokvětý (<i>Plantago uliginosa</i>), sítina žabí (<i>Juncus bufonius</i>), šáchor hnědý (<i>Cyperus fuscus</i>)
MAA03;;;jetel zvrhlý (<i>Trifolium hybridum</i>), sítina žabí (<i>Juncus bufonius</i>)
MAB01;;; 
MAB02;;;bahnička vejčitá (<i>Eleocharis ovata</i>), bezosetka štětinovitá (<i>Isolepis setacea</i>), dvouzubec trojdílný (<i>Bidens tripartitus</i>), jetel rolní (<i>Trifolium arvense</i>), kalužník šruchový (<i>Peplis portula</i>), nehtovec přeslenitý (<i>Illecebrum verticillatum</i>), protěž bažinná (<i>Gnaphalium uliginosum</i>), protěž žlutobílá (<i>Pseudognaphalium luteoalbum</i>), sítina žabí (<i>Juncus bufonius</i>)
MAC01;;;blatěnka vodní (<i>Limosella aquatica</i>), heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), jitrocel chudokvětý (<i>Plantago uliginosa</i>), myší ocásek nejmenší  (<i>Myosurus minimus</i>), rozrazil bažinný (<i>Veronica anagalloides</i>), mech (<i>Physcomitrium pyriforme</i>)
MAC02;;; 
MAC03;;;blešník obecný (<i>Pulicaria vulgaris</i>), kyprej yzopolistý (<i>Lythrum hyssopifolia</i>), rdesno peprník (<i>Persicaria hydropiper</i>)
MBA01;;;ostřice šáchorovitá (<i>Carex bohemica</i>), pryskyřník lítý (<i>Ranunculus sceleratus</i>), psárka plavá (<i>Alopecurus aequalis</i>), rukev bažinná (<i>Rorippa palustris</i>), šťovík přímořský (<i>Rumex maritimus</i>)
MBA02;;;dvouzubec trojdílný (<i>Bidens tripartitus</i>), ostřice šáchorovitá (<i>Carex bohemica</i>), rdesno blešník (<i>Persicaria lapathifolia</i>)
MBA03;;;dvouzubec nicí (<i>Bidens cernuus</i>), okřehek menší (<i>Lemna minor</i>), rdesno peprník (<i>Persicaria hydropiper</i>)
MBA04;;;mochna poléhavá (<i>Potentilla supina</i>), rdesno blešník (<i>Persicaria lapathifolia</i>), rozrazil drchničkovitý  (<i>Veronica anagallis-aquatica</i>), rukev bažinná (<i>Rorippa palustris</i>), sítina žabí (<i>Juncus bufonius</i>), šťovík přímořský (<i>Rumex maritimus</i>)
MBA05;;;bahnička vejčitá (<i>Eleocharis ovata</i>), dvouzubec paprsčitý (<i>Bidens radiatus</i>), hvězdoš jarní (<i>Callitriche palustris</i>), mochna poléhavá (<i>Potentilla supina</i>), ostřice šáchorovitá (<i>Carex bohemica</i>), psárka plavá (<i>Alopecurus aequalis</i>), puchýřka útlá (<i>Coleanthus subtilis</i>), rukev bažinná (<i>Rorippa palustris</i>), sítina žabí (<i>Juncus bufonius</i>)
MBA06;;;dvouzubec černoplodý (<i>Bidens frondosus</i>), dvouzubec trojdílný (<i>Bidens tripartitus</i>), rdesno peprník (<i>Persicaria hydropiper</i>)
MBB01;;;merlík červený (<i>Chenopodium rubrum</i>), merlík sivý (<i>Chenopodium glaucum</i>)
MBB02;;;kuřinka solná (<i>Spergularia marina</i>), lebeda hrálovitá širokolistá (<i>Atriplex prostrata subsp. latifolia</i>), merlík červený (<i>Chenopodium rubrum</i>), merlík sivý (<i>Chenopodium glaucum</i>), okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>), rdesno blešník (<i>Persicaria lapathifolia</i>)
MBB03;;;jetel plazivý (<i>Trifolium repens</i>), merlík fíkolistý  (<i>Chenopodium ficifolium</i>), okruh merlíku bílého (<i>Chenopodium album agg.</i>)
MBB04;;; 
MCA01;;;skřípinec jezerní (<i>Schoenoplectus lacustris</i>)
MCA02;;;okřehek menší (<i>Lemna minor</i>), orobinec úzkolistý (<i>Typha angustifolia</i>)
MCA03;;;okřehek menší (<i>Lemna minor</i>), orobinec širokolistý (<i>Typha latifolia</i>)
MCA04;;;rákos obecný (<i>Phragmites australis</i>)
MCA05;;;okřehek menší (<i>Lemna minor</i>), zblochan vodní (<i>Glyceria maxima</i>)
MCA06;;;okřehek menší (<i>Lemna minor</i>), zevar vzpřímený (<i>Sparganium erectum</i>)
MCA07;;;okřehek menší (<i>Lemna minor</i>), puškvorec obecný (<i>Acorus calamus</i>)
MCA08;;;přeslička poříční (<i>Equisetum fluviatile</i>)
MCA09;;;orobinec stříbrošedý (<i>Typha shuttleworthii</i>)
MCA10;;;kamyšník širokoplodý (<i>Bolboschoenus laticarpus</i>)
MCB01;;;kamyšník polní (<i>Bolboschoenus planiculmis</i>), kamyšník přímořský (<i>Bolboschoenus maritimus</i>), štírovník tenkolistý (<i>Lotus tenuis</i>)
MCB02;;;máta vodní (<i>Mentha aquatica</i>), orobinec úzkolistý (<i>Typha angustifolia</i>), skřípinec Tabernaemontanův (<i>Schoenoplectus tabernaemontani</i>)
MCC01;;;halucha vodní (<i>Oenanthe aquatica</i>), okřehek menší (<i>Lemna minor</i>), ostřice šáchorovitá (<i>Carex bohemica</i>), psárka plavá (<i>Alopecurus aequalis</i>), rdesno blešník (<i>Persicaria lapathifolia</i>), šťovík přímořský (<i>Rumex maritimus</i>)
MCC02;;;halucha vodní (<i>Oenanthe aquatica</i>), rukev obojživelná (<i>Rorippa amphibia</i>)
MCC03;;;okřehek menší (<i>Lemna minor</i>), šípatka střelolistá (<i>Sagittaria sagittifolia</i>), zevar jednoduchý (<i>Sparganium emersum</i>)
MCC04;;;jitrocel chudokvětý (<i>Plantago uliginosa</i>), prustka obecná  (<i>Hippuris vulgaris</i>), rdest vzplývavý (<i>Potamogeton natans</i>), rozrazil drchničkovitý  (<i>Veronica anagallis-aquatica</i>), šáchor hnědý (<i>Cyperus fuscus</i>)
MCC05;;;bahnička vejčitá (<i>Eleocharis ovata</i>), ostřice zobánkatá (<i>Carex rostrata</i>), sítina rozkladitá (<i>Juncus effusus</i>), skřípina kořenující (<i>Scirpus radicans</i>)
MCC06;;;okruh bahničky mokřadní (<i>Eleocharis palustris agg.</i>)
MCC07;;;žabník jitrocelový (<i>Alisma plantago-aquatica</i>)
MCC08;;;blatěnka vodní (<i>Limosella aquatica</i>), okruh bahničky mokřadní (<i>Eleocharis palustris agg.</i>), okřehek menší (<i>Lemna minor</i>), žabník jitrocelový (<i>Alisma plantago-aquatica</i>), žabník kopinatý (<i>Alisma lanceolatum</i>)
MCC09;;;halucha vodní (<i>Oenanthe aquatica</i>), lakušník okrouhlý (<i>Batrachium circinatum</i>), ostřice šáchorovitá (<i>Carex bohemica</i>), psárka plavá (<i>Alopecurus aequalis</i>), rdest maličký (<i>Potamogeton pusillus</i>), rdestík hřebenitý (<i>Stuckenia pectinata</i>), žabník trávolistý (<i>Alisma gramineum</i>)
MCC10;;;šmel okoličnatý (<i>Butomus umbellatus</i>)
MCC11;;;dvouzubec trojdílný (<i>Bidens tripartitus</i>), kamyšník širokoplodý (<i>Bolboschoenus laticarpus</i>), kamyšník vrcholičnatý (<i>Bolboschoenus yagara</i>), rdesno peprník (<i>Persicaria hydropiper</i>), sítina žabí (<i>Juncus bufonius</i>)
MCC12;;;jílek vytrvalý (<i>Lolium perenne</i>), jitrocel chudokvětý (<i>Plantago uliginosa</i>), kamyšník polní (<i>Bolboschoenus planiculmis</i>), kamyšník širokoplodý (<i>Bolboschoenus laticarpus</i>), pryskyřník plazivý (<i>Ranunculus repens</i>)
MCD01;;;chrastice rákosovitá (<i>Phalaris arundinacea</i>), kopřiva dvoudomá (<i>Urtica dioica</i>)
MCD02;;;ostřice Buekova (<i>Carex buekii</i>)
MCD03;;;chrastice rákosovitá (<i>Phalaris arundinacea</i>), třtina pobřežní (<i>Calamagrostis pseudophragmites</i>)
MCE01;;;zblochan vzplývavý (<i>Glyceria fluitans</i>)
MCE02;;;zblochan řasnatý (<i>Glyceria notata</i>)
MCE03;;;okřehek menší (<i>Lemna minor</i>), potočník vzpřímený (<i>Berula erecta</i>)
MCE04;;;okřehek hrbatý (<i>Lemna gibba</i>), potočnice drobnolistá (<i>Nasturtium microphyllum</i>), potočnice lékařská (<i>Nasturtium officinale</i>), potočníce zkřížená (<i>Nasturtium x sterile</i>)
MCE05;;;tajnička rýžovitá (<i>Leersia oryzoides</i>)
MCF01;;;okřehek menší (<i>Lemna minor</i>), ostřice nedošáchor (<i>Carex pseudocyperus</i>), rozpuk jizlivý (<i>Cicuta virosa</i>)
MCF02;;;kapradiník bažinný (<i>Thelypteris palustris</i>), ostřice štíhlá (<i>Carex acuta</i>), rákos obecný (<i>Phragmites australis</i>)
MCF03;;;ďáblík bahenní (<i>Calla palustris</i>)
MCG01;;;ostřice vyvýšená (<i>Carex elata</i>), rákos obecný (<i>Phragmites australis</i>)
MCG02;;;ostřice zobánkatá (<i>Carex rostrata</i>)
MCG03;;;okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), ostřice plstnatoplodá (<i>Carex lasiocarpa</i>), přeslička poříční (<i>Equisetum fluviatile</i>), suchopýr úzkolistý (<i>Eriophorum angustifolium</i>)
MCG04;;;ostřice trsnatá (<i>Carex cespitosa</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), zábělník bahenní (<i>Comarum palustre</i>)
MCG05;;;bublinatka menší (<i>Utricularia minor</i>), ostřice přioblá (<i>Carex diandra</i>), přeslička poříční (<i>Equisetum fluviatile</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), vrbina kytkokvětá (<i>Lysimachia thyrsiflora</i>)
MCG06;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice odchylná (<i>Carex appropinquata</i>), ostřice zobánkatá (<i>Carex rostrata</i>), přeslička poříční (<i>Equisetum fluviatile</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), zábělník bahenní (<i>Comarum palustre</i>), mech (<i>Climacium dendroides</i>)
MCG07;;;třtina šedavá (<i>Calamagrostis canescens</i>)
MCG08;;;mařice pilovitá (<i>Cladium mariscus</i>)
MCH01;;;okřehek menší (<i>Lemna minor</i>), ostřice latnatá (<i>Carex paniculata</i>), rákos obecný (<i>Phragmites australis</i>), vodní mor kanadský (<i>Elodea canadensis</i>)
MCH02;;;ostřice ostrá (<i>Carex acutiformis</i>)
MCH03;;;ostřice štíhlá (<i>Carex acuta</i>)
MCH04;;;ostřice měchýřkatá (<i>Carex vesicaria</i>)
MCH05;;;ostřice dvouřadá (<i>Carex disticha</i>)
MCH06;;;ostřice pobřežní (<i>Carex riparia</i>)
MCH07;;;ostřice liščí (<i>Carex vulpina</i>), ostřice štíhlá (<i>Carex acuta</i>), pryskyřník plazivý (<i>Ranunculus repens</i>), vrbina penízková (<i>Lysimachia nummularia</i>)
MCH08;;;chrastice rákosovitá (<i>Phalaris arundinacea</i>)
RAA01;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice řídkoklasá (<i>Carex remota</i>)
RAA02;;;blatouch bahenní (<i>Caltha palustris</i>), devětsil bílý (<i>Petasites albus</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), mokrýš střídavolistý (<i>Chrysosplenium alternifolium</i>), řeřišnice hořká (<i>Cardamine amara</i>), mech (<i>Brachythecium rivulare</i>), mech (<i>Conocephalum conicum</i>)
RAA03;;;mokrýš vstřícnolistý (<i>Chrysosplenium oppositifolium</i>), ptačinec mokřadní (<i>Stellaria alsine</i>), řeřišnice hořká (<i>Cardamine amara</i>)
RAB01;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice prosová (<i>Carex panicea</i>), přeslička bahenní (<i>Equisetum palustre</i>), mech (<i>Bryum pseudotriquetrum</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Palustriella commutata</i>), mech (<i>Pellia endiviifolia</i>)
RAC01;;;psineček psí (<i>Agrostis canina</i>), ptačinec mokřadní (<i>Stellaria alsine</i>), rozrazil potoční (<i>Veronica beccabunga</i>), vrbovka tmavá (<i>Epilobium obscurum</i>), zdrojovka hladkosemenná potoční (<i>Montia fontana subsp. amporitana</i>), zdrojovka hladkosemenná pravá (<i>Montia fontana subsp. fontana</i>), mech (<i>Brachythecium rivulare</i>), mech (<i>Sphagnum girgensohnii</i>)
RAD01;;;ptačinec mokřadní (<i>Stellaria alsine</i>), mech (<i>Bryum pseudotriquetrum</i>), mech (<i>Philonotis seriata</i>)
RAD02;;;metlice trsnatá (<i>Deschampsia cespitosa</i>), oměj šalamounek (<i>Aconitum plicatum</i>), pažitka pobřežní (<i>Allium schoenoprasum</i>), škarda bahenní (<i>Crepis paludosa</i>), mech (<i>Blindia acuta</i>), mech (<i>Palustriella commutata</i>), mech (<i>Philonotis seriata</i>), mech (<i>Scapania uliginosa</i>), mech (<i>Scapania undulata</i>)
RAD03;;;krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), oměj šalamounek (<i>Aconitum plicatum</i>), ptačinec mokřadní (<i>Stellaria alsine</i>), řeřišnice hořká Opizova (<i>Cardamine amara subsp. opicii</i>), violka dvoukvětá (<i>Viola biflora</i>), mech (<i>Philonotis seriata</i>), mech (<i>Pohlia wahlenbergii</i>)
RBA01;;;okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), ostřice Davallova (<i>Carex davalliana</i>), ostřice prosová (<i>Carex panicea</i>), mech (<i>Calliergonella cuspidata</i>)
RBA02;;;bezkolenec rákosovitý (<i>Molinia arundinacea</i>), ostřice chabá (<i>Carex flacca</i>), ostřice prosová (<i>Carex panicea</i>), ostřice rusá (<i>Carex flava</i>), přeslička bahenní (<i>Equisetum palustre</i>), sítina článkovaná (<i>Juncus articulatus</i>), sítina sivá (<i>Juncus inflexus</i>), suchopýr úzkolistý (<i>Eriophorum angustifolium</i>), mech (<i>Bryum pseudotriquetrum</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Campylium stellatum</i>), mech (<i>Fissidens adianthoides</i>), mech (<i>Palustriella commutata</i>), mech (<i>Tomentypnum nitens</i>)
RBA03;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice chabá (<i>Carex flacca</i>), ostřice obecná (<i>Carex nigra</i>), ostřice prosová (<i>Carex panicea</i>), přeslička bahenní (<i>Equisetum palustre</i>), suchopýr širolistý (<i>Eriophorum latifolium</i>), mech (<i>Aulacomnium palustre</i>), mech (<i>Bryum pseudotriquetrum</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Campylium stellatum</i>), mech (<i>Palustriella decipiens</i>), mech (<i>Plagiomnium affine</i>), mech (<i>Scorpidium cossonii</i>)
RBA04;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice přioblá (<i>Carex diandra</i>), ostřice zobánkatá (<i>Carex rostrata</i>), zábělník bahenní (<i>Comarum palustre</i>), mech (<i>Campylium stellatum</i>), mech (<i>Hamatocaulis vernicosus</i>), mech (<i>Scorpidium cossonii</i>), mech (<i>Tomentypnum nitens</i>)
RBA05;;;okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), ostřice prosová (<i>Carex panicea</i>), sveřep vzpřímený (<i>Bromus erectus</i>), šášina načernalá (<i>Schoenus nigricans</i>), šášina načernalá × rezavá (<i>Schoenus x scheuchzeri</i>), šášina rezavá (<i>Schoenus ferrugineus</i>), mech (<i>Campylium stellatum</i>), mech (<i>Scorpidium cossonii</i>)
RBA06;;;bahnička chudokvětá (<i>Eleocharis quinqueflora</i>), mech (<i>Scorpidium cossonii</i>), řasa (<i>Chara vulgaris</i>)
RBB01;;;ostřice Davallova (<i>Carex davalliana</i>), ostřice prosová (<i>Carex panicea</i>), mech (<i>Campylium stellatum</i>), mech (<i>Sphagnum contortum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum teres</i>), mech (<i>Sphagnum warnstorfii</i>), mech (<i>Tomentypnum nitens</i>)
RBB02;;;hrotnosemenka bílá (<i>Rhynchospora alba</i>), ostřice prosová (<i>Carex panicea</i>), ostřice skloněná (<i>Carex demissa</i>), suchopýrek alpský (<i>Trichophorum alpinum</i>), mech (<i>Campylium stellatum</i>), mech (<i>Scorpidium cossonii</i>), mech (<i>Sphagnum contortum</i>), mech (<i>Sphagnum warnstorfii</i>)
RBB03;;;ostřice bažinná (<i>Carex limosa</i>), ostřice plstnatoplodá (<i>Carex lasiocarpa</i>), ostřice přioblá (<i>Carex diandra</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), mech (<i>Scorpidium cossonii</i>), mech (<i>Sphagnum contortum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum teres</i>)
RBC01;;;ostřice obecná (<i>Carex nigra</i>), ostřice prosová (<i>Carex panicea</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Sphagnum palustre</i>)
RBC02;;;bezkolenec modrý (<i>Molinia caerulea</i>), hrotnosemenka bílá (<i>Rhynchospora alba</i>), ostřice prosová (<i>Carex panicea</i>), rákos obecný (<i>Phragmites australis</i>), rosnatka (<i>Drosera xobovata</i>), rosnatka okrouhlolistá (<i>Drosera rotundifolia</i>), suchopýr úzkolistý (<i>Eriophorum angustifolium</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Sphagnum inundatum</i>), mech (<i>Sphagnum palustre</i>), mech (<i>Sphagnum papillosum</i>), mech (<i>Sphagnum platyphyllum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum subsecundum</i>)
RBC03;;;ostřice bažinná (<i>Carex limosa</i>), ostřice přioblá (<i>Carex diandra</i>), ostřice šlahounovitá (<i>Carex chordorrhiza</i>), ostřice zobánkatá (<i>Carex rostrata</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), zábělník bahenní (<i>Comarum palustre</i>), mech (<i>Bryum pseudotriquetrum</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Sphagnum obtusum</i>), mech (<i>Sphagnum teres</i>)
RBC04;;;bezkolenec modrý (<i>Molinia caerulea</i>), kropenáč vytrvalý (<i>Swertia perennis</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), ostřice rusá (<i>Carex flava</i>), pažitka pobřežní (<i>Allium schoenoprasum</i>), suchopýrek alpský (<i>Trichophorum alpinum</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Scapania uliginosa</i>), mech (<i>Scorpidium revolvens</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum girgensohnii</i>), mech (<i>Sphagnum subnitens</i>), mech (<i>Sphagnum subsecundum</i>), mech (<i>Tomentypnum nitens</i>)
RBC05;;;suchopýr úzkolistý (<i>Eriophorum angustifolium</i>), suchopýrek trsnatý (<i>Trichophorum cespitosum</i>), mech (<i>Sarmentypnum exannulatum</i>), mech (<i>Sarmentypnum sarmentosum</i>), mech (<i>Scapania uliginosa</i>)
RBD01;;;ostřice zobánkatá (<i>Carex rostrata</i>), zábělník bahenní (<i>Comarum palustre</i>), mech (<i>Sphagnum recurvum</i>)
RBD02;;;okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), ostřice plstnatoplodá (<i>Carex lasiocarpa</i>), rákos obecný (<i>Phragmites australis</i>), zábělník bahenní (<i>Comarum palustre</i>), mech (<i>Polytrichum commune</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum papillosum</i>), mech (<i>Sphagnum recurvum</i>)
RBD03;;;ostřice ježatá (<i>Carex echinata</i>), ostřice obecná (<i>Carex nigra</i>), ostřice prosová (<i>Carex panicea</i>), sítina niťovitá (<i>Juncus filiformis</i>), smilka tuhá (<i>Nardus stricta</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum palustre</i>), mech (<i>Sphagnum recurvum</i>)
RBD04;;;bezkolenec modrý (<i>Molinia caerulea</i>), okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), rákos obecný (<i>Phragmites australis</i>), sítina niťovitá (<i>Juncus filiformis</i>), smilka tuhá (<i>Nardus stricta</i>), suchopýr úzkolistý (<i>Eriophorum angustifolium</i>), mech (<i>Polytrichum commune</i>), mech (<i>Sphagnum girgensohnii</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum russowii</i>), mech (<i>Sphagnum subsecundum</i>)
RBE01;;;ostřice bažinná (<i>Carex limosa</i>), suchopýrek trsnatý (<i>Trichophorum cespitosum</i>), mech (<i>Gymnocolea inflata</i>), mech (<i>Sphagnum cuspidatum</i>), mech (<i>Sphagnum majus</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Warnstorfia fluitans</i>)
RBE02;;;ostřice bažinná (<i>Carex limosa</i>), ostřice zobánkatá (<i>Carex rostrata</i>), mech (<i>Sphagnum cuspidatum</i>), mech (<i>Sphagnum majus</i>), mech (<i>Warnstorfia fluitans</i>)
RBE03;;;hrotnosemenka bílá (<i>Rhynchospora alba</i>), mech (<i>Aulacomnium palustre</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum magellanicum</i>), mech (<i>Sphagnum palustre</i>), mech (<i>Sphagnum papillosum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum tenellum</i>)
RCA01;;;bezkolenec modrý (<i>Molinia caerulea</i>), okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Polytrichum commune</i>), mech (<i>Polytrichum strictum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum russowii</i>)
RCA02;;;brusnice vlochyně (<i>Vaccinium uliginosum</i>), okruh šichy černé (<i>Empetrum nigrum agg.</i>), ostřice chudokvětá  (<i>Carex pauciflora</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Sphagnum fallax</i>), mech (<i>Sphagnum magellanicum</i>), mech (<i>Sphagnum rubellum</i>), mech (<i>Sphagnum russowii</i>)
RCA03;;;borovice kleč (<i>Pinus mugo</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), ostružiník moruška (<i>Rubus chamaemorus</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Polytrichum strictum</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum fuscum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum russowii</i>)
RCA04;;;bezkolenec modrý (<i>Molinia caerulea</i>), borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum palustre</i>), mech (<i>Sphagnum recurvum</i>)
RCA05;;;borovice pyrenejská blatka (<i>Pinus uncinata subsp. uliginosa</i>), brusnice brusinka (<i>Vaccinium vitis-idaea</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), okruh klikvy bahenní (<i>Vaccinium oxycoccos agg.</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Polytrichum commune</i>), mech (<i>Polytrichum strictum</i>), mech (<i>Sphagnum cuspidatum</i>), mech (<i>Sphagnum fuscum</i>), mech (<i>Sphagnum recurvum</i>)
RCB01;;;suchopýrek trsnatý (<i>Trichophorum cespitosum</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Sphagnum papillosum</i>), mech (<i>Sphagnum recurvum</i>), mech (<i>Sphagnum rubellum</i>)
RCC01;;;bezkolenec modrý (<i>Molinia caerulea</i>), suchopýrek trsnatý (<i>Trichophorum cespitosum</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Gymnocolea inflata</i>), mech (<i>Sphagnum compactum</i>)
RCC02;;;brusnice vlochyně (<i>Vaccinium uliginosum</i>), okruh šichy černé (<i>Empetrum nigrum agg.</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Sphagnum fuscum</i>), mech (<i>Sphagnum magellanicum</i>), mech (<i>Sphagnum rubellum</i>), mech (<i>Sphagnum russowii</i>)
SAA01;;;puchýřník křehký (<i>Cystopteris fragilis</i>), mech (<i>Marchantia polymorpha</i>)
SAA02;;;sleziník routička (<i>Asplenium ruta-muraria</i>)
SAB01;;;kostřava ovčí (<i>Festuca ovina</i>), kostřava sivá (<i>Festuca pallens s. l. (excl. F. psammophila)</i>), sleziník hadcový (<i>Asplenium cuneifolium</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Hypnum cupressiforme</i>)
SAB02;;;podmrvka hadcová (<i>Notholaena marantae</i>), sleziník hadcový (<i>Asplenium cuneifolium</i>), mech (<i>Hypnum cupressiforme</i>)
SAC01;;;kapradinka skalní (<i>Woodsia ilvensis</i>)
SAC02;;;kostřava ovčí (<i>Festuca ovina</i>), lomikámen trsnatý křehký (<i>Saxifraga rosacea subsp. sponhemica</i>), lomikámen trsnatý vlnatý (<i>Saxifraga rosacea subsp. steinmannii</i>), mech (<i>Dicranum scoparium</i>)
SAC03;;;osladič obecný (<i>Polypodium vulgare</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Hypnum cupressiforme</i>), mech (<i>Pleurozium schreberi</i>), mech (<i>Polytrichum formosum</i>)
SAD01;;; 
SBA01;;;zvěšinec zední (<i>Cymbalaria muralis</i>)
SBA02;;;dymnivka žlutá (<i>Pseudofumaria lutea</i>)
SCA01;;;bukovník vápencový (<i>Gymnocarpium robertianum</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), mech (<i>Homalothecium sericeum</i>)
SCA02;;;konopice úzkolistá (<i>Galeopsis angustifolia</i>)
SCA03;;;strdivka brvitá (<i>Melica ciliata</i>)
SCB01;;;konopice širolistá (<i>Galeopsis ladanum</i>)
TAA01;;;skrytěnka bodlinatá (<i>Crypsis aculeata</i>)
TAA02;;;bahenka šášinovitá (<i>Crypsis schoenoides</i>), kuřinka obroubená (<i>Spergularia media</i>)
TBA01;;;slanorožec rozprostřený (<i>Salicornia prostrata</i>)
TBA02;;;solnička rozprostřená (<i>Suaeda prostrata</i>)
TCA01;;;hvězdnice panonská pravá (<i>Tripolium pannonicum subsp. pannonicum</i>), jitrocel přímořský (<i>Plantago maritima</i>), kuřinka obroubená (<i>Spergularia media</i>), zblochanec oddálený (<i>Puccinellia distans</i>)
TCB01;;;hadí mord maloúborný (<i>Scorzonera parviflora</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), mochna husí (<i>Potentilla anserina</i>), ostřice oddálená (<i>Carex distans</i>), ostřice Otrubova (<i>Carex otrubae</i>), sítina Gerardova  (<i>Juncus gerardii</i>), štírovník tenkolistý (<i>Lotus tenuis</i>)
TCB02;;;jetel jahodnatý (<i>Trifolium fragiferum</i>), jílek vytrvalý (<i>Lolium perenne</i>), jitrocel větší (<i>Plantago major</i>), kostřava luční (<i>Festuca pratensis</i>), mochna husí (<i>Potentilla anserina</i>), psineček výběžkatý (<i>Agrostis stolonifera</i>), štírovník tenkolistý (<i>Lotus tenuis</i>)
